OBJECTID,Tree_Name,Area,Diameter,Height,Tree_ID,Date_Planted,Lat,Long
435,Kousa Dogwood,Yard,0,12,"9,807",,42.374250398561784,-71.117188777089254
436,Kousa Dogwood,Yard,0,12,"9,808",,42.374248216038190,-71.117146776049651
437,Kousa Dogwood,Yard,0,12,"9,809",,42.374240703152275,-71.117071849601857
438,Evergreen Chinese Elm,Yard,4,10,"9,810",,42.374967590584234,-71.116558220656316
439,Sugar Maple,Yard,4,12,"9,811",,42.374685508436336,-71.114619639187254
440,Sugar Maple,Yard,4,12,"9,812",,42.374632105758891,-71.114629163278821
441,Cherry Plum or Peach,Yard,10,20,"9,813",,42.373545168714607,-71.114927824801057
442,Dawn-Redwood,Yard,0,0,"9,814",,42.374646677227162,-71.115514444007260
443,Dawn-Redwood,Yard,0,0,"9,815",,42.374771817377905,-71.115578472385025
444,Hornbeam,Yard,0,0,"9,816",,42.374237751867938,-71.115749140587027
445,Crabapple,Yard,11,12,"9,817",,42.373691196386886,-71.115746196121876
446,Crabapple,Yard,11,12,"9,818",,42.373681654986790,-71.115695744677055
447,Crabapple,Yard,11,12,"9,819",,42.373672530190170,-71.115633376080481
448,Crabapple,Yard,11,12,"9,820",,42.373664179181446,-71.115565762447858
449,Crabapple,Yard,11,12,"9,821",,42.373658528673374,-71.115511791807251
450,Flowering Dogwood,Yard,9,14,"9,822",,42.375190022615563,-71.115417864895292
451,Sycamore Maple,Yard,16,34,"9,823",,42.374809713777005,-71.114685842504556
452,Norway Maple,Yard,5,6,"9,824",,42.374819185351910,-71.114709938691107
453,Norway Maple,Yard,16,35,"9,825",,42.374890854503384,-71.114780432735515
454,Littleleaf Linden,Yard,26,45,"9,826",,42.374903320659008,-71.114805411658665
455,Crabapple,Yard,2,6,"9,827",9/15/2014 0:00:00,42.373024947667794,-71.115835341729166
456,Honeylocust,Yard,15,38,"9,828",,42.372967696656659,-71.116148416930713
457,Hawthorn,Yard,14,15,"9,829",,42.373026097859722,-71.116120278949481
458,Austrian Pine,Yard,15,34,"9,830",,42.372979756827007,-71.115962019488720
459,Austrian Pine,Yard,16,36,"9,831",,42.372901036435884,-71.115918218521728
